,0
price_log,0.05219454329774614
How much (in Canadian dollars) would you be willing to pay for this painting?,0.05219454329774614
"If you could purchase this painting, which room would you put that painting in?",0.04744958481613286
What season does this art piece remind you of?,0.045077105575326216
"If you could view this art in person, who would you want to view it with?",0.045077105575326216
How many prominent colours do you notice in this painting?,0.04389086595492289
How many objects caught your eye in the painting?,0.04389086595492289
This art piece makes me feel content.,0.042704626334519574
This art piece makes me feel uneasy.,0.042111506524317915
This art piece makes me feel calm.,0.042111506524317915
This art piece makes me feel sombre.,0.04151838671411625
"On a scale of 1–10, how intense is the emotion conveyed by the artwork?",0.03855278766310795
Painting,0.0
Describe how this painting makes you feel.,0.0
"If this painting was a food, what would be?",0.0
Imagine a soundtrack for this painting. Describe that soundtrack without naming any objects in the painting.,0.0
text_all,0.0
text_len_words,0.0
unique_id,0.0
