column,missing_rate_raw,missing_rate_clean,missing_rate_delta
How much (in Canadian dollars) would you be willing to pay for this painting?,0.04448398576512456,0.05219454329774614,0.0077105575326215856
"If you could purchase this painting, which room would you put that painting in?",0.04744958481613286,0.04744958481613286,0.0
"If you could view this art in person, who would you want to view it with?",0.045077105575326216,0.045077105575326216,0.0
What season does this art piece remind you of?,0.045077105575326216,0.045077105575326216,0.0
How many prominent colours do you notice in this painting?,0.04389086595492289,0.04389086595492289,0.0
How many objects caught your eye in the painting?,0.04389086595492289,0.04389086595492289,0.0
This art piece makes me feel content.,0.042704626334519574,0.042704626334519574,0.0
This art piece makes me feel uneasy.,0.042111506524317915,0.042111506524317915,0.0
This art piece makes me feel calm.,0.042111506524317915,0.042111506524317915,0.0
This art piece makes me feel sombre.,0.04151838671411625,0.04151838671411625,0.0
"On a scale of 1–10, how intense is the emotion conveyed by the artwork?",0.03855278766310795,0.03855278766310795,0.0
text_all,,0.0,
Describe how this painting makes you feel.,0.04448398576512456,0.0,-0.04448398576512456
Painting,0.0,0.0,0.0
Imagine a soundtrack for this painting. Describe that soundtrack without naming any objects in the painting.,0.05041518386714116,0.0,-0.05041518386714116
"If this painting was a food, what would be?",0.04389086595492289,0.0,-0.04389086595492289
unique_id,0.0,0.0,0.0
