unique_id,Painting,"On a scale of 1–10, how intense is the emotion conveyed by the artwork?",Describe how this painting makes you feel.,This art piece makes me feel sombre.,This art piece makes me feel content.,This art piece makes me feel calm.,This art piece makes me feel uneasy.,How many prominent colours do you notice in this painting?,How many objects caught your eye in the painting?,How much (in Canadian dollars) would you be willing to pay for this painting?,"If you could purchase this painting, which room would you put that painting in?","If you could view this art in person, who would you want to view it with?",What season does this art piece remind you of?,"If this painting was a food, what would be?",Imagine a soundtrack for this painting. Describe that soundtrack without naming any objects in the painting.,text_all
1,The Persistence of Memory,,,,,,,5.0,,,,,,,,
2,The Persistence of Memory,5.0,"the clocks are burnt on a hot desert, it embodies the melancholy of time passing. the dominant yellow hue intensifies this sensation.",4.0,3.0,2.0,1.0,2.0,4.0,0.0,bathroom,by yourself,fall,fries,a country song that contrasts nostalgia for the past with dissatisfaction with the present.,"the clocks are burnt on a hot desert, it embodies the melancholy of time passing. the dominant yellow hue intensifies this sensation. fries a country song that contrasts nostalgia for the past with dissatisfaction with the present. bathroom by yourself fall"
3,The Persistence of Memory,7.0,this painting makes me feel dread. the clock reminds me of a ticking time until the death of the creature in the picture.,4.0,1.0,1.0,4.0,4.0,3.0,5.0,"bathroom,dining room","by yourself,coworkers/classmates",fall,sardines,a melancholy instrumental with a monotone voice singing gloomy lyrics like creep by radiohead.,"this painting makes me feel dread. the clock reminds me of a ticking time until the death of the creature in the picture. sardines a melancholy instrumental with a monotone voice singing gloomy lyrics like creep by radiohead. bathroom,dining room by yourself,coworkers/classmates fall"
4,The Persistence of Memory,7.0,deflated,4.0,1.0,2.0,4.0,10.0,7.0,,"bathroom,bedroom",coworkers/classmates,winter,a,q,"deflated a q bathroom,bedroom coworkers/classmates winter"
5,The Persistence of Memory,7.0,the painting gives me a sense of calmness and plenitude. it has an ominous and nostalgic feeling similar to time passing.,3.0,4.0,5.0,3.0,4.0,6.0,300.0,living room,friends,"spring,summer",churros.,radiohead's album in rainbows.,"the painting gives me a sense of calmness and plenitude. it has an ominous and nostalgic feeling similar to time passing. churros. radiohead's album in rainbows. living room friends spring,summer"
6,The Persistence of Memory,7.0,"this painting makes me feel a bit confused and bewildered, as the objects and art style make me feel detached from reality.",4.0,2.0,1.0,5.0,5.0,6.0,90000.0,"living room,office","by yourself,family members,friends","fall,summer",shepherd's pie,"the soundtrack should sound heavy, sombre, and like a finale to an event. it should be slow but without too much emotion.","this painting makes me feel a bit confused and bewildered, as the objects and art style make me feel detached from reality. shepherd's pie the soundtrack should sound heavy, sombre, and like a finale to an event. it should be slow but without too much emotion. living room,office by yourself,family members,friends fall,summer"
7,The Persistence of Memory,8.0,it has a sorrow feeling and clock is melting feel like time is decaying.,4.0,2.0,2.0,4.0,3.0,3.0,0.0,office,by yourself,winter,10 days old lasagna,"a truly sorrow, minor key orchestra piece","it has a sorrow feeling and clock is melting feel like time is decaying. 10 days old lasagna a truly sorrow, minor key orchestra piece office by yourself winter"
8,The Persistence of Memory,4.0,"the painting makes me feel somewhat sad, thinking about the passage of time.",4.0,2.0,2.0,4.0,7.0,8.0,150.0,office,by yourself,winter,grilled salmon with a beurre blanc sauce.,"slow, somewhat sad piano or violin piece.","the painting makes me feel somewhat sad, thinking about the passage of time. grilled salmon with a beurre blanc sauce. slow, somewhat sad piano or violin piece. office by yourself winter"
9,The Persistence of Memory,8.0,"eerie, moody, confused",5.0,2.0,2.0,4.0,3.0,4.0,20.0,office,friends,fall,pizza,ticking clock horror movie soundtrack,"eerie, moody, confused pizza ticking clock horror movie soundtrack office friends fall"
10,The Persistence of Memory,10.0,"the painting gives me a sense of nostalgia and mourning. although the setting is surreal, it feels like i am looking at a part of my life which has gone and passed forever and is warped upon reflection.",5.0,3.0,1.0,5.0,3.0,5.0,100000000.0,living room,"by yourself,family members,friends",fall,flan,"the soundtrack would be somber and nostalgic, with a solemn yearning for the past.","the painting gives me a sense of nostalgia and mourning. although the setting is surreal, it feels like i am looking at a part of my life which has gone and passed forever and is warped upon reflection. flan the soundtrack would be somber and nostalgic, with a solemn yearning for the past. living room by yourself,family members,friends fall"
11,The Persistence of Memory,7.0,the painting makes me feel lathargic.,4.0,2.0,4.0,3.0,3.0,5.0,400.0,"dining room,office",by yourself,fall,soup,low bpm,"the painting makes me feel lathargic. soup low bpm dining room,office by yourself fall"
12,The Persistence of Memory,8.0,world goes to an end.,3.0,2.0,3.0,3.0,3.0,3.0,1000.0,bedroom,"by yourself,family members,friends",fall,a black chocolate.,"the soundtrack is cold, giving a scene of million years after a global disaster.","world goes to an end. a black chocolate. the soundtrack is cold, giving a scene of million years after a global disaster. bedroom by yourself,family members,friends fall"
13,The Persistence of Memory,7.0,i feel shocked and discomfort.,5.0,1.0,2.0,5.0,7.0,8.0,5.0,"bedroom,office","by yourself,family members,friends",fall,oreo,a very solemn soundtrack.,"i feel shocked and discomfort. oreo a very solemn soundtrack. bedroom,office by yourself,family members,friends fall"
14,The Persistence of Memory,6.0,"the painting makes me feel nostalgic and sad. the sunset conveys a calming ending feeling while the clocks melting away induces a feeling of the duration and longing where time loses its meaning. while it conveys to me of the inevitable passing of my limited amount of time, it also reminds me of the greatest times and memories i have experienced in my life.",4.0,3.0,4.0,4.0,5.0,3.0,100000.0,"dining room,living room","by yourself,friends,strangers","fall,summer",a chocolate dessert,"slow, calm rhythm. no intense variations in melody. strongly harmonic.","the painting makes me feel nostalgic and sad. the sunset conveys a calming ending feeling while the clocks melting away induces a feeling of the duration and longing where time loses its meaning. while it conveys to me of the inevitable passing of my limited amount of time, it also reminds me of the greatest times and memories i have experienced in my life. a chocolate dessert slow, calm rhythm. no intense variations in melody. strongly harmonic. dining room,living room by yourself,friends,strangers fall,summer"
15,The Persistence of Memory,3.0,it makes me feel a bit anxious or sad since it seems to symbolize time melting away.,4.0,3.0,4.0,1.0,3.0,5.0,5000.0,office,by yourself,summer,scrambled eggs,it would probably be slow and a little sad but not creepy or eerie.,it makes me feel a bit anxious or sad since it seems to symbolize time melting away. scrambled eggs it would probably be slow and a little sad but not creepy or eerie. office by yourself summer
